,Year,Barrels Crude Oil Produced Per Day
0,1991,91829.271
1,1992,95165.881
2,1993,94904.507
3,1994,94407.282
4,1995,95997.992
5,1996,106631.65
6,1997,116493.437
7,1998,109783.46
8,1999,105322.735
9,2000,112792.331
10,2001,117777.848
11,2002,100831.38
12,2003,114916.0
13,2004,123901.773
14,2005,125059.581
15,2006,118326.122
16,2007,109314.824
17,2008,104650.921
18,2009,106230.399
19,2010,121980.261
20,2011,117923.85
21,2012,116091.165
22,2013,108972.791
23,2014,108707.332
24,2015,105293.126
25,2016,91208.507
26,2017,94939.221
