Month,Texas Field Production of Crude Oil Thousand Barrels per Day
Jul-21,4810
Jul-21,4782
Jul-21,4806
Jul-21,4837
Jul-21,4728
Jul-21,3745
Jul-21,4661
Jul-21,4638
Jul-21,4671
Jul-21,4646
Jul-21,4640
Aug-21,4696
Aug-21,4741
Aug-21,4634
Aug-21,4219
Aug-21,5115
Aug-21,5435
Aug-21,5399
Aug-21,5435
Aug-21,5429
Aug-21,5402
Aug-21,5328
Aug-21,5237
Aug-21,5166
Aug-21,5107
Aug-21,5037
Aug-21,5000
Aug-21,4962
Aug-21,4863
Aug-21,4869
Aug-21,4793
Aug-21,4849
Aug-21,4796
Aug-21,4685
Aug-21,4662
Aug-21,4564
Aug-21,4404
Aug-21,4363
Aug-21,4232
Aug-21,4227
Aug-21,4181
Aug-21,4020
Sep-21,3893
Sep-21,3932
Sep-21,3882
Sep-21,3754
Sep-21,3548
Sep-21,3362
Sep-21,3460
Sep-21,3434
Sep-21,3401
Sep-21,3323
Sep-21,3317
Sep-21,3306
Sep-21,3194
Sep-21,3165
Sep-21,3165
Sep-21,3157
Sep-21,3123
Sep-21,3138
Sep-21,3138
Sep-21,3139
Sep-21,3163
Sep-21,3218
Sep-21,3256
Sep-21,3300
Sep-21,3339
Sep-21,3319
Sep-21,3386
Sep-21,3390
Sep-21,3407
Sep-21,3407
Oct-21,3442
Oct-21,3454
Oct-21,3507
Oct-21,3566
Oct-21,3615
Oct-21,3554
Oct-21,3441
Oct-21,3546
Oct-21,3450
Oct-21,3360
Oct-21,3285
Oct-21,3273
Oct-21,3219
Oct-21,3144
Oct-21,3070
Oct-21,3050
Oct-21,2964
Oct-21,2900
Oct-21,2845
Oct-21,2784
Oct-21,2696
Oct-21,2693
Oct-21,2672
Oct-21,2619
Oct-21,2585
Oct-21,2535
Oct-21,2497
Oct-21,2425
Oct-21,2389
Oct-21,2337
Oct-21,2275
Nov-21,2233
Nov-21,2219
Nov-21,2156
Nov-21,2091
Nov-21,2056
Nov-21,1998
Nov-21,1950
Nov-21,1914
Nov-21,1871
Nov-21,1801
Nov-21,1773
Nov-21,1726
Nov-21,1690
Nov-21,1661
Nov-21,1596
Nov-21,1538
Nov-21,1491
Nov-21,1437
Nov-21,1401
Nov-21,1393
Nov-21,1349
Nov-21,1337
Nov-21,1228
Nov-21,1281
Nov-21,1279
Nov-21,1244
Nov-21,1215
Nov-21,1191
Nov-21,1168
Nov-21,1152
Dec-21,1139
Dec-21,1146
Dec-21,1137
Dec-21,1137
Dec-21,1121
Dec-21,1099
Dec-21,1091
Dec-21,1102
Dec-21,1081
Dec-21,1081
Dec-21,1067
Dec-21,1063
Dec-21,1071
Dec-21,1089
Dec-21,1110
Dec-21,1118
Dec-21,1128
